Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
299,Michael Porter Jr.,SF,25,DEN,5,5,25.4,4.2,10.6,0.396,2,6.4,0.313,2.2,4.2,0.524,0.491,0.4,0.4,1,1.6,6.4,8,2,0.6,0.4,0.6,2.2,10.8
300,Otto Porter Jr.,SF,30,TOR,1,0,16,2,4,0.5,2,4,0.5,0,0,,0.75,0,0,,2,1,3,1,0,1,0,3,6
301,Bobby Portis,PF,28,MIL,4,0,19.3,4.8,8.5,0.559,0,1.3,0,4.8,7.3,0.655,0.559,2.5,4.3,0.588,1.5,4.5,6,1.8,1,0.5,1,2.3,12
302,Kristaps Porziņģis,PF,28,BOS,4,4,29.8,6,10.8,0.558,2.3,5,0.45,3.8,5.8,0.652,0.663,4.5,5,0.9,1.3,6,7.3,1.5,0.8,1.5,1.5,3.8,18.8
303,Dwight Powell,C,32,DAL,3,0,12,1.3,1.3,1,0.3,0.3,1,1,1,1,1.125,2.3,2.7,0.875,1.7,1,2.7,0.3,0.3,1.3,0.3,0.7,5.3
304,Norman Powell,SG,30,LAC,5,0,26.2,5,9.8,0.51,1.6,4.6,0.348,3.4,5.2,0.654,0.592,2.4,3,0.8,0.2,2.6,2.8,1.8,0.6,0.4,1.2,2.6,14
305,Taurean Prince,PF,29,LAL,5,4,23.2,2.8,6.8,0.412,1.8,4.4,0.409,1,2.4,0.417,0.544,1,1.2,0.833,0.2,1,1.2,0.8,0.2,0.6,0.4,1.8,8.4
306,Payton Pritchard,PG,26,BOS,4,0,18.8,2,5.8,0.348,0.8,3.3,0.231,1.3,2.5,0.5,0.413,0.8,0.8,1,0.5,2.5,3,4.3,0.3,0,1,2,5.5
307,Immanuel Quickley,SG,24,NYK,5,0,24.6,5.6,12.2,0.459,1.8,5.6,0.321,3.8,6.6,0.576,0.533,3.2,3.8,0.842,0.8,3.6,4.4,3.4,0.6,0,2.2,1.6,16.2
308,Lester Quinones,SG,23,GSW,1,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,0,0,0,0,0,1,0,5
309,Julius Randle,PF,29,NYK,5,5,33.8,4.2,15.2,0.276,1.6,6.2,0.258,2.6,9,0.289,0.329,3.2,5,0.64,1.8,8.4,10.2,5.2,0.8,0,3,2.6,13.2
310,Austin Reaves,SG,25,LAL,5,5,31.2,3.8,11,0.345,0.8,3.8,0.211,3,7.2,0.417,0.382,2.6,3.2,0.813,1.4,3,4.4,3.4,1.4,0.2,2.8,2.6,11
311,Cam Reddish,SF,24,LAL,5,1,17,1.2,3.8,0.316,0.4,2.4,0.167,0.8,1.4,0.571,0.368,1,1.2,0.833,0.4,2,2.4,1.2,0.8,0.4,0.4,1.8,3.8
312,Paul Reed,C,24,PHI,3,0,13.7,1.3,3.7,0.364,0,1,0,1.3,2.7,0.5,0.364,0.3,0.7,0.5,1.3,3.3,4.7,1,0.3,0.7,1.3,3.3,3
313,Naz Reid,C,24,MIN,4,0,23.8,6,10.8,0.558,2,4.8,0.421,4,6,0.667,0.651,2,2,1,0.8,3.8,4.5,0.8,0.8,0,0.8,1,16
314,Jared Rhoden,SG,24,DET,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
315,Nick Richards,C,26,CHO,4,0,16.5,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,2.3,3,0.75,1.5,2.5,4,0.5,0.5,2.3,1.5,3,5.3
316,Josh Richardson,SG,30,MIA,2,0,26.5,2,8,0.25,0.5,3.5,0.143,1.5,4.5,0.333,0.281,0.5,1,0.5,0,3,3,2.5,0.5,0,0,2.5,5
317,Duncan Robinson,SF,29,MIA,5,0,23.8,4,9.4,0.426,2.4,6.8,0.353,1.6,2.6,0.615,0.553,0,0,,0.6,1.4,2,1,0.2,0,0.4,2.6,10.4
318,Jerome Robinson,SG,26,GSW,1,0,5,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0
319,Mitchell Robinson,C,25,NYK,5,5,28.6,2.4,5,0.48,0,0,,2.4,5,0.48,0.48,1.4,2.8,0.5,6,5.4,11.4,0.4,1.6,1.6,0.6,1.8,6.2
320,Orlando Robinson,C,23,MIA,2,0,15,2,4.5,0.444,0.5,0.5,1,1.5,4,0.375,0.5,1,1,1,1,3,4,3.5,0.5,0.5,1.5,2,5.5
321,David Roddy,PF,22,MEM,5,0,24,3.4,7,0.486,1,2.6,0.385,2.4,4.4,0.545,0.557,0.4,0.6,0.667,0.6,3.6,4.2,1.8,0.2,0.6,1,2.2,8.2
322,Ryan Rollins,PG,21,WAS,3,0,8.3,0.7,2.3,0.286,0,0,,0.7,2.3,0.286,0.286,3.3,4,0.833,0.3,1,1.3,1.7,1.3,0.3,0.7,1,4.7
323,Derrick Rose,PG,35,MEM,4,0,17.8,3,9.3,0.324,1.3,2.5,0.5,1.8,6.8,0.259,0.392,0.8,1,0.75,1,1,2,2.8,0.5,0.3,1.5,0.8,8
324,Terry Rozier,SG,29,CHO,4,4,37,8.8,19,0.461,1.3,6.5,0.192,7.5,12.5,0.6,0.493,3.3,4.3,0.765,1,2.5,3.5,5.5,0.8,0.3,2.8,1,22
325,Rayan Rupert,SG,19,POR,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
326,D'Angelo Russell,PG,27,LAL,5,5,36.4,7,14.8,0.473,2,6,0.333,5,8.8,0.568,0.541,3.4,3.8,0.895,0,3,3,7,0.8,0.4,2.4,3,19.4
327,Matt Ryan,SF,26,NOP,4,0,21.5,2.5,7.3,0.345,2,6.5,0.308,0.5,0.8,0.667,0.483,0.3,0.3,1,0.3,2,2.3,1.5,0.5,0.3,0.8,2.3,7.3
328,Domantas Sabonis,C,27,SAC,4,4,34.8,7,13.3,0.528,0.5,1.5,0.333,6.5,11.8,0.553,0.547,4.5,7,0.643,3.5,10.5,14,6.3,1.3,0.5,2.3,3,19
329,Luka Šamanić,PF,24,UTA,2,0,4,1.5,3,0.5,0.5,1,0.5,1,2,0.5,0.583,0,0,,0,0.5,0.5,0,0.5,0,0,0,3.5
330,Jermaine Samuels,SF,25,HOU,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
331,Dario Šarić,PF,29,GSW,5,0,19.2,2.8,7.6,0.368,1.4,3.8,0.368,1.4,3.8,0.368,0.461,0.4,0.8,0.5,2.4,4.6,7,2.2,0.2,0.8,1.2,2,7.4
332,Olivier Sarr,C,24,OKC,4,0,11,0.3,0.3,1,0,0,,0.3,0.3,1,1,1,1.5,0.667,0.8,3.8,4.5,0.3,0,1.3,0.5,1.5,1.5
333,Marcus Sasser,PG,23,DET,5,0,12.2,2,3.4,0.588,0.8,1.6,0.5,1.2,1.8,0.667,0.706,0,0,,0.2,2,2.2,2.2,1,0.2,0.4,1,4.8
334,Dennis Schröder,PG,30,TOR,5,5,32.8,5.8,13,0.446,2.6,5.2,0.5,3.2,7.8,0.41,0.546,2,2.4,0.833,1,1.8,2.8,9.2,0.8,0,1.6,1.2,16.2
335,Alperen Şengün,C,21,HOU,4,4,32.5,8.3,14,0.589,0.8,1.8,0.429,7.5,12.3,0.612,0.616,2,3.8,0.533,3.3,5.3,8.5,6,0.8,0.3,2,3.5,19.3
336,Brice Sensabaugh,SF,20,UTA,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0
